,city,year,weekofyear,total_cases
0,sj,1998,18,4
1,sj,1998,19,5
2,sj,1998,20,4
3,sj,1998,21,3
4,sj,1998,22,6
5,sj,1998,23,2
6,sj,1998,24,4
7,sj,1998,25,5
8,sj,1998,26,10
9,sj,1998,27,6
10,sj,1998,28,8
11,sj,1998,29,2
12,sj,1998,30,6
13,sj,1998,31,17
14,sj,1998,32,23
15,sj,1998,33,13
16,sj,1998,34,21
17,sj,1998,35,28
18,sj,1998,36,24
19,sj,1998,37,20
20,sj,1998,38,40
21,sj,1998,39,27
22,sj,1998,40,42
23,sj,1998,41,33
24,sj,1998,42,43
25,sj,1998,43,37
26,sj,1998,44,57
27,sj,1998,45,71
28,sj,1998,46,44
29,sj,1998,47,56
30,sj,1998,48,53
31,sj,1998,49,52
32,sj,1998,50,47
33,sj,1998,51,26
34,sj,1998,52,27
35,sj,1999,1,21
36,sj,1999,2,21
37,sj,1999,3,26
38,sj,1999,4,34
39,sj,1999,5,37
40,sj,1999,6,17
41,sj,1999,7,19
42,sj,1999,8,25
43,sj,1999,9,18
44,sj,1999,10,21
45,sj,1999,11,17
46,sj,1999,12,17
47,sj,1999,13,16
48,sj,1999,14,16
49,sj,1999,15,15
50,sj,1999,16,23
51,sj,1999,17,16
52,sj,1999,18,17
53,sj,1999,19,12
54,sj,1999,20,17
55,sj,1999,21,10
56,sj,1999,22,15
57,sj,1999,23,19
58,sj,1999,24,21
59,sj,1999,25,14
60,sj,1999,26,18
61,sj,1999,27,13
62,sj,1999,28,14
63,sj,1999,29,18
64,sj,1999,30,23
65,sj,1999,31,25
66,sj,1999,32,62
67,sj,1999,33,60
68,sj,1999,34,76
69,sj,1999,35,66
70,sj,1999,36,64
71,sj,1999,37,68
72,sj,1999,38,89
73,sj,1999,39,92
74,sj,1999,40,140
75,sj,1999,41,116
76,sj,1999,42,142
77,sj,1999,43,129
78,sj,1999,44,140
79,sj,1999,45,140
80,sj,1999,46,127
81,sj,1999,47,129
82,sj,1999,48,169
83,sj,1999,49,141
84,sj,1999,50,108
85,sj,1999,51,78
86,sj,1999,52,70
87,sj,2000,1,81
88,sj,2000,2,104
89,sj,2000,3,90
90,sj,2000,4,85
91,sj,2000,5,55
92,sj,2000,6,53
93,sj,2000,7,65
94,sj,2000,8,33
95,sj,2000,9,38
96,sj,2000,10,59
97,sj,2000,11,40
98,sj,2000,12,37
99,sj,2000,13,29
100,sj,2000,14,30
101,sj,2000,15,30
102,sj,2000,16,28
103,sj,2000,17,23
104,sj,2000,18,24
105,sj,2000,19,29
106,sj,2000,20,26
107,sj,2000,21,23
108,sj,2000,22,20
109,sj,2000,23,19
110,sj,2000,24,20
111,sj,2000,25,26
112,sj,2000,26,29
113,sj,2000,27,31
114,sj,2000,28,28
115,sj,2000,29,26
116,sj,2000,30,32
117,sj,2000,31,35
118,sj,2000,32,33
119,sj,2000,33,30
120,sj,2000,34,52
121,sj,2000,35,59
122,sj,2000,36,67
123,sj,2000,37,65
124,sj,2000,38,74
125,sj,2000,39,70
126,sj,2000,40,61
127,sj,2000,41,53
128,sj,2000,42,76
129,sj,2000,43,61
130,sj,2000,44,57
131,sj,2000,45,44
132,sj,2000,46,34
133,sj,2000,47,47
134,sj,2000,48,60
135,sj,2000,49,60
136,sj,2000,50,53
137,sj,2000,51,36
138,sj,2000,52,31
139,sj,2001,53,30
140,sj,2001,1,32
141,sj,2001,2,28
142,sj,2001,3,33
143,sj,2001,4,33
144,sj,2001,5,35
145,sj,2001,6,22
146,sj,2001,7,13
147,sj,2001,8,13
148,sj,2001,9,21
149,sj,2001,10,17
150,sj,2001,11,11
151,sj,2001,12,8
152,sj,2001,13,8
153,sj,2001,14,6
154,sj,2001,15,6
155,sj,2001,16,7
156,sj,2001,17,12
157,sj,2001,18,17
158,sj,2001,19,10
159,sj,2001,20,10
160,sj,2001,21,18
161,sj,2001,22,19
162,sj,2001,23,12
163,sj,2001,24,22
164,sj,2001,25,12
165,sj,2001,26,21
166,sj,2001,27,18
167,sj,2001,28,16
168,sj,2001,29,16
169,sj,2001,30,22
170,sj,2001,31,17
171,sj,2001,32,25
172,sj,2001,33,23
173,sj,2001,34,12
174,sj,2001,35,25
175,sj,2001,36,28
176,sj,2001,37,27
177,sj,2001,38,18
178,sj,2001,39,23
179,sj,2001,40,23
180,sj,2001,41,29
181,sj,2001,42,38
182,sj,2001,43,36
183,sj,2001,44,43
184,sj,2001,45,46
185,sj,2001,46,31
186,sj,2001,47,25
187,sj,2001,48,40
188,sj,2001,49,31
189,sj,2001,50,38
190,sj,2001,51,30
191,sj,2002,52,22
192,sj,2002,1,31
193,sj,2002,2,26
194,sj,2002,3,35
195,sj,2002,4,36
196,sj,2002,5,39
197,sj,2002,6,25
198,sj,2002,7,31
199,sj,2002,8,37
200,sj,2002,9,33
201,sj,2002,10,25
202,sj,2002,11,24
203,sj,2002,12,18
204,sj,2002,13,23
205,sj,2002,14,13
206,sj,2002,15,18
207,sj,2002,16,14
208,sj,2002,17,17
209,sj,2002,18,22
210,sj,2002,19,13
211,sj,2002,20,24
212,sj,2002,21,31
213,sj,2002,22,34
214,sj,2002,23,31
215,sj,2002,24,31
216,sj,2002,25,38
217,sj,2002,26,49
218,sj,2002,27,42
219,sj,2002,28,49
220,sj,2002,29,55
221,sj,2002,30,80
222,sj,2002,31,84
223,sj,2002,32,72
224,sj,2002,33,89
225,sj,2002,34,115
226,sj,2002,35,179
227,sj,2002,36,202
228,sj,2002,37,272
229,sj,2002,38,302
230,sj,2002,39,395
231,sj,2002,40,426
232,sj,2002,41,461
233,sj,2002,42,381
234,sj,2002,43,333
235,sj,2002,44,353
236,sj,2002,45,410
237,sj,2002,46,364
238,sj,2002,47,359
239,sj,2002,48,288
240,sj,2002,49,221
241,sj,2002,50,149
242,sj,2002,51,112
243,sj,2003,52,154
244,sj,2003,1,91
245,sj,2003,2,72
246,sj,2003,3,56
247,sj,2003,4,46
248,sj,2003,5,37
249,sj,2003,6,26
250,sj,2003,7,17
251,sj,2003,8,17
252,sj,2003,9,20
253,sj,2003,10,11
254,sj,2003,11,7
255,sj,2003,12,16
256,sj,2003,13,14
257,sj,2003,14,16
258,sj,2003,15,5
259,sj,2003,16,2
260,sj,2003,17,6
